ack 3.5.0-2
skypeforlinux-preview-bin 8.73.76.83-1
slstatus-git r552.b14e039-1
smbclient 4.14.5-1
smplayer 21.1.0-1
sshfs 3.7.1-1
stack 2.5.1-229
steam 1.0.0.70-1
sudo 1.9.7-1
sxhkd 0.6.2-1
sxiv 26-1
sysfsutils 2.1.1-1
system-config-printer 1.5.15-1
systemd-sysvcompat 248.3-2
tabbed 0.6-3
tar 1.34-1
telegram-desktop 2.7.4-2
termite 15-4
termite-terminfo 15-4
termpub 2020.12.06.1-1
texinfo 6.7-3
texlive-bibtexextra 2021.58697-1
texlive-core 2021.58710-2
texlive-fontsextra 2021.58704-1
texlive-formatsextra 2021.57972-1
texlive-games 2021.56833-1
texlive-humanities 2021.58589-1
texlive-latexextra 2021.58668-2
texlive-music 2021.58331-1
texlive-pictures 2021.58558-1
texlive-pstricks 2021.58293-1
texlive-publishers 2021.58683-1
texlive-science 2021.58667-1
texlive-slashbox 1993.05.27-1
texlive-tikz-uml 1.0-1
the_silver_searcher 2.2.0-2
thunar 4.16.8-1
thunar-archive-plugin 0.4.0-3
thunar-media-tags-plugin 0.3.0-2
thunar-volman 4.16.0-1
thunderbird 78.11.0-1
thunderbird-extension-enigmail 2.2.4-1
thunderbird-i18n-de 78.11.0-1
thunderbird-i18n-en-us 78.11.0-1
thunderbird-i18n-es-es 78.11.0-1
thunderbird-i18n-he 78.11.0-1
tigervnc 1.11.0-6
tilix 1.9.4-3
tk 8.6.11.1-1
tmux 3.2_a-1
touchpad_config 1.0-1
translate-shell 0.9.6.11-2
transmission-gtk 3.00-2
transset-df 6-6
trash-cli 0.21.5.25-1
tray_mixer_plus 1:0.0.5-1
trayer 1.1.8-2
ttf-consolas-powerline 1.0.g3cd9d75-1
ttf-consolas-with-powerline 5b42778-1
ttf-croscore 20201226-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-inconsolata 1:3.000-3
ttf-liberation 2.1.4-1
ttf-unifont 13.0.06-1
ttf-windows 1-1
tuir 1.29.0-2
tumbler 4.16.0-3
udiskie 2.3.3-1
ueberzug 18.1.9-2
unclutter-xfixes-git v1.5.r1.g04e2a94-1
unrar 1:6.0.6-1
unzip 6.0-14
urlscan 0.9.6-1
urxvt-perls 2.3-1
usbutils 013-1
uswsusp-git 1.0-9
util-linux 2.37-3
valgrind 3.17.0-1
vbetool 1.2.2-4
vcftools 0.1.16-1
vi 1:070224-5
vidcutter 6.0.5-2
vifm 0.11-1
virt-manager 3.2.0-1
virtualbox 6.1.22-2
virtualbox-ext-oracle 6.1.22-1
virtualbox-ext-vnc 6.1.22-2
virtualbox-guest-iso 6.1.22-1
virtualbox-host-modules-arch 6.1.22-16
visual-studio-code-bin 1.57.0-1
vlc 3.0.15-2
volumeicon 0.5.1-5
volwheel 0.2.8-7
vulkan-radeon 21.1.2-1
w3m 0.5.3.git20210102_6-1
weather 2.3-1
webex-bin 41.6.1.19162-1
weston 9.0.0-1
wget 1.21.1-1
which 2.21-5
wireguard-tools 1.0.20210424-1
wmctrl 1.07-6
words 2.1-6
x11vnc 1:0.9.16-4
xbindkeys 1.8.7-2
xcape 1.2-4
xcompmgr 1.1.8-2
xdotool 3.20160805.1-3
xf86-video-amdgpu 19.1.0-2
xf86-video-vesa 2.5.0-1
xfburn 0.6.2-1
xfce4-appfinder 4.16.1-2
xfce4-artwork 0.1.1a_git20110420-6
xfce4-battery-plugin 1.1.4-1
xfce4-clipman-plugin 1.6.2-1
xfce4-cpufreq-plugin 1.2.5-1
xfce4-cpugraph-plugin 1.2.3-1
xfce4-datetime-plugin 0.8.1-1
xfce4-dict 0.8.4-1
xfce4-diskperf-plugin 2.6.3-1
xfce4-eyes-plugin 4.5.1-1
xfce4-fsguard-plugin 1.1.2-1
xfce4-genmon-plugin 4.1.1-1
xfce4-mailwatch-plugin 1.3.0-1
xfce4-mount-plugin 1.1.5-1
xfce4-mpc-plugin 0.5.2-2
xfce4-netload-plugin 1.4.0-1
xfce4-notes-plugin 1.9.0-1
xfce4-notifyd 0.6.2-2
xfce4-panel 4.16.3-2
xfce4-power-manager 4.16.0-3
xfce4-pulseaudio-plugin 0.4.3-1
xfce4-screenshooter 1.9.9-2
xfce4-sensors-plugin 1.3.95-1
xfce4-session 4.16.0-2
xfce4-settings 4.16.2-1
xfce4-smartbookmark-plugin 0.5.2-1
xfce4-systemload-plugin 1.3.1-1
xfce4-taskmanager 1.4.2-1
xfce4-terminal 0.8.10-2
xfce4-time-out-plugin 1.1.2-1
xfce4-timer-plugin 1.7.1-1
xfce4-verve-plugin 2.0.1-1
xfce4-wavelan-plugin 0.6.2-1
xfce4-weather-plugin 0.11.0-1
xfce4-whiskermenu-plugin 2.5.3-1
xfce4-xkb-plugin 0.8.2-1
xfconf 4.16.0-2
xfdesktop 4.16.0-2
xfsprogs 5.11.0-2
xfwm4 4.16.1-2
xfwm4-themes 4.10.0-4
xinit-xsession 1-3
xmobar 0.38-6
xmonad 0.15-134
xmonad-contrib 0.16-114
xmonad-utils 0.1.3.3-139
xorg-bdftopcf 1.1-2
xorg-mkfontscale 1.2.1-2
xorg-server 1.20.11-1
xorg-sessreg 1.1.2-2
xorg-smproxy 1.0.6-3
xorg-x11perf 1.6.1-2
xorg-xbacklight 1.2.3-2
xorg-xcmsdb 1.0.5-3
xorg-xcursorgen 1.0.7-2
xorg-xdpyinfo 1.3.2-4
xorg-xdriinfo 1.0.6-2
xorg-xev 1.2.4-1
xorg-xgamma 1.0.6-3
xorg-xhost 1.0.8-2
xorg-xinput 1.6.3-2
xorg-xkbevd 1.1.4-3
xorg-xkbutils 1.0.4-4
xorg-xkill 1.0.5-2
xorg-xlsatoms 1.1.3-2
xorg-xlsclients 1.1.4-2
xorg-xpr 1.0.5-2
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrefresh 1.0.6-2
xorg-xset 1.2.4-2
xorg-xsetroot 1.1.2-2
xorg-xvinfo 1.1.4-2
xorg-xwd 1.0.7-2
xorg-xwininfo 1.1.5-2
xorg-xwud 1.0.5-2
xsane 0.999-5
xscreensaver 6.00-2
xterm 368-1
xvkbd 4.1-1
yapf 0.31.0-1
yay-bin 10.2.3-2
zathura 0.4.7-1
zathura-djvu 0.2.9-1
zathura-pdf-mupdf 0.3.6-5
zathura-ps 0.2.6-2
zip 3.0-9
zoom 5.6.7-1
zsh 5.8-1
